date,price
02.09.16,8294.299805
05.09.16,8310.370117
06.09.16,8304.339844
07.09.16,8320.990234
08.09.16,8315.200195
09.09.16,8264.129883
12.09.16,8206.200195
13.09.16,8174.72998
14.09.16,8162.649902
15.09.16,8184.839844
16.09.16,8130.439941
19.09.16,8195.709961
20.09.16,8237.540039
21.09.16,8226.469727
22.09.16,8307.629883
23.09.16,8272.889648
26.09.16,8165.049805
27.09.16,8175.419922
28.09.16,8220.070313
29.09.16,8164.200195
30.09.16,8139.009766
03.10.16,8166.319824
04.10.16,8230.730469
05.10.16,8195.230469
06.10.16,8170.439941
07.10.16,8124.589844
10.10.16,8172.220215
11.10.16,8135.149902
12.10.16,8068.560059
13.10.16,7999.930176
14.10.16,8089.910156
17.10.16,8000.959961
18.10.16,8074.689941
19.10.16,8093.779785
20.10.16,8069.27002
21.10.16,8034.859863
24.10.16,7991.879883
25.10.16,7929.870117
26.10.16,7892.77002
27.10.16,7924.390137
28.10.16,7908.569824
31.10.16,7827.740234
01.11.16,7761.339844
02.11.16,7700.410156
03.11.16,7640.939941
04.11.16,7593.200195
07.11.16,7735.220215
08.11.16,7744.029785
09.11.16,7897.839844
10.11.16,7928.77002
11.11.16,7880.290039
14.11.16,7896.850098
15.11.16,7909.200195
16.11.16,7914.02002
17.11.16,7964.680176
18.11.16,7904.549805
21.11.16,7849.859863
22.11.16,7741.819824
23.11.16,7752.240234
24.11.16,7798.5
25.11.16,7881.529785
28.11.16,7823.22998
29.11.16,7845.009766
30.11.16,7875.189941
01.12.16,7779.109863
02.12.16,7784.009766
05.12.16,7845.680176
06.12.16,7912.390137
07.12.16,7930.25
08.12.16,7953.680176
09.12.16,8099.629883
12.12.16,8040.089844
13.12.16,8162.529785
14.12.16,8140.410156
15.12.16,8214.299805
16.12.16,8227.719727
19.12.16,8234.490234
20.12.16,8243
21.12.16,8233.450195
22.12.16,8237.980469
23.12.16,8232.639648
27.12.16,8259.450195
28.12.16,8256.610352
29.12.16,8251.129883
30.12.16,8219.870117
03.01.17,8316.179688
04.01.17,8354.80957
05.01.17,8392.490234
06.01.17,8417.459961
09.01.17,8424.860352
10.01.17,8449.19043
11.01.17,8427.150391
12.01.17,8375.019531
13.01.17,8452.19043
16.01.17,8362.599609
17.01.17,8304.099609
18.01.17,8312.419922
19.01.17,8273.080078
20.01.17,8275.129883
23.01.17,8229.009766
24.01.17,8246.660156
25.01.17,8387.549805
26.01.17,8405.480469
27.01.17,8379.570313
30.01.17,8320.830078
31.01.17,8291.69043
01.02.17,8329.169922
02.02.17,8276.700195
03.02.17,8350.839844
06.02.17,8330.929688
07.02.17,8370.139648
08.02.17,8378.730469
09.02.17,8437.540039
10.02.17,8456.219727
