month,level_1,value
1994-04,Total Aircraft Arrivals And Departures,11797
1994-04,Total Passengers,1693219
1994-05,Total Aircraft Arrivals And Departures,12175
1994-05,Total Passengers,1648928
1994-06,Total Aircraft Arrivals And Departures,11920
1994-06,Total Passengers,1811503
1994-07,Total Aircraft Arrivals And Departures,12241
1994-07,Total Passengers,1879921
1994-08,Total Aircraft Arrivals And Departures,12242
1994-08,Total Passengers,1953458
1994-09,Total Aircraft Arrivals And Departures,11941
1994-09,Total Passengers,1767093
1994-10,Total Aircraft Arrivals And Departures,12413
1994-10,Total Passengers,1783161
1994-11,Total Aircraft Arrivals And Departures,12363
1994-11,Total Passengers,1837525
1994-12,Total Aircraft Arrivals And Departures,12954
1994-12,Total Passengers,2070869
1995-01,Total Aircraft Arrivals And Departures,12818
1995-01,Total Passengers,1882522
1995-02,Total Aircraft Arrivals And Departures,11755
1995-02,Total Passengers,1731013
1995-03,Total Aircraft Arrivals And Departures,13002
1995-03,Total Passengers,1891114
1995-04,Total Aircraft Arrivals And Departures,12806
1995-04,Total Passengers,1783931
1995-05,Total Aircraft Arrivals And Departures,13047
1995-05,Total Passengers,1794882
1995-06,Total Aircraft Arrivals And Departures,12773
1995-06,Total Passengers,1940256
1995-07,Total Aircraft Arrivals And Departures,13195
1995-07,Total Passengers,2016698
1995-08,Total Aircraft Arrivals And Departures,13237
1995-08,Total Passengers,2077971
1995-09,Total Aircraft Arrivals And Departures,12785
1995-09,Total Passengers,1919314
1995-10,Total Aircraft Arrivals And Departures,13303
1995-10,Total Passengers,1934830
1995-11,Total Aircraft Arrivals And Departures,13461
1995-11,Total Passengers,2003006
1995-12,Total Aircraft Arrivals And Departures,14152
1995-12,Total Passengers,2220703
1996-01,Total Aircraft Arrivals And Departures,13768
1996-01,Total Passengers,1892839
1996-02,Total Aircraft Arrivals And Departures,13259
1996-02,Total Passengers,1919938
1996-03,Total Aircraft Arrivals And Departures,13823
1996-03,Total Passengers,2036719
1996-04,Total Aircraft Arrivals And Departures,13606
1996-04,Total Passengers,1942508
1996-05,Total Aircraft Arrivals And Departures,14165
1996-05,Total Passengers,1918785
1996-06,Total Aircraft Arrivals And Departures,13790
1996-06,Total Passengers,2128942
1996-07,Total Aircraft Arrivals And Departures,14150
1996-07,Total Passengers,2067977
1996-08,Total Aircraft Arrivals And Departures,14094
1996-08,Total Passengers,2137310
1996-09,Total Aircraft Arrivals And Departures,13588
1996-09,Total Passengers,1908094
1996-10,Total Aircraft Arrivals And Departures,14091
1996-10,Total Passengers,2010634
1996-11,Total Aircraft Arrivals And Departures,13857
1996-11,Total Passengers,2144333
1996-12,Total Aircraft Arrivals And Departures,14558
1996-12,Total Passengers,2406169
1997-01,Total Aircraft Arrivals And Departures,14380
1997-01,Total Passengers,2041433
1997-02,Total Aircraft Arrivals And Departures,13299
1997-02,Total Passengers,2065920
1997-03,Total Aircraft Arrivals And Departures,14593
1997-03,Total Passengers,2194442
1997-04,Total Aircraft Arrivals And Departures,14138
1997-04,Total Passengers,2005286
1997-05,Total Aircraft Arrivals And Departures,14667
1997-05,Total Passengers,2005959
1997-06,Total Aircraft Arrivals And Departures,14319
1997-06,Total Passengers,2226839
1997-07,Total Aircraft Arrivals And Departures,14700
1997-07,Total Passengers,2204621
1997-08,Total Aircraft Arrivals And Departures,14634
1997-08,Total Passengers,2165016
1997-09,Total Aircraft Arrivals And Departures,14161
1997-09,Total Passengers,2056664
1997-10,Total Aircraft Arrivals And Departures,14505
1997-10,Total Passengers,1913596
1997-11,Total Aircraft Arrivals And Departures,14354
1997-11,Total Passengers,2007658
1997-12,Total Aircraft Arrivals And Departures,14922
1997-12,Total Passengers,2286910
1998-01,Total Aircraft Arrivals And Departures,14684
1998-01,Total Passengers,1938798
1998-02,Total Aircraft Arrivals And Departures,12882
1998-02,Total Passengers,1752422
1998-03,Total Aircraft Arrivals And Departures,14033
1998-03,Total Passengers,1895942
1998-04,Total Aircraft Arrivals And Departures,13560
1998-04,Total Passengers,1913054
1998-05,Total Aircraft Arrivals And Departures,14287
1998-05,Total Passengers,1945342
1998-06,Total Aircraft Arrivals And Departures,13431
1998-06,Total Passengers,2017927
1998-07,Total Aircraft Arrivals And Departures,13782
1998-07,Total Passengers,1977846
1998-08,Total Aircraft Arrivals And Departures,13706
1998-08,Total Passengers,2082829
1998-09,Total Aircraft Arrivals And Departures,13348
1998-09,Total Passengers,1902633
1998-10,Total Aircraft Arrivals And Departures,13957
1998-10,Total Passengers,2008947
1998-11,Total Aircraft Arrivals And Departures,13601
1998-11,Total Passengers,2037230
1998-12,Total Aircraft Arrivals And Departures,13971
1998-12,Total Passengers,2330210
1999-01,Total Aircraft Arrivals And Departures,13831
1999-01,Total Passengers,2092950
1999-02,Total Aircraft Arrivals And Departures,12675
1999-02,Total Passengers,1973070
1999-03,Total Aircraft Arrivals And Departures,14001
1999-03,Total Passengers,2158459
1999-04,Total Aircraft Arrivals And Departures,13604
1999-04,Total Passengers,2002629
1999-05,Total Aircraft Arrivals And Departures,14044
1999-05,Total Passengers,2024338
1999-06,Total Aircraft Arrivals And Departures,13796
1999-06,Total Passengers,2241423
1999-07,Total Aircraft Arrivals And Departures,14089
1999-07,Total Passengers,2229213
1999-08,Total Aircraft Arrivals And Departures,14008
1999-08,Total Passengers,2278976
1999-09,Total Aircraft Arrivals And Departures,13605
1999-09,Total Passengers,2147672
1999-10,Total Aircraft Arrivals And Departures,14080
1999-10,Total Passengers,2220387
1999-11,Total Aircraft Arrivals And Departures,13780
1999-11,Total Passengers,2309505
1999-12,Total Aircraft Arrivals And Departures,14448
1999-12,Total Passengers,2386023
2000-01,Total Aircraft Arrivals And Departures,14152
2000-01,Total Passengers,2221797
2000-02,Total Aircraft Arrivals And Departures,13648
2000-02,Total Passengers,2215569
2000-03,Total Aircraft Arrivals And Departures,14517
2000-03,Total Passengers,2345783
2000-04,Total Aircraft Arrivals And Departures,14189
2000-04,Total Passengers,2371910
2000-05,Total Aircraft Arrivals And Departures,14523
2000-05,Total Passengers,2271392
2000-06,Total Aircraft Arrivals And Departures,14324
2000-06,Total Passengers,2419411
2000-07,Total Aircraft Arrivals And Departures,14726
2000-07,Total Passengers,2473812
2000-08,Total Aircraft Arrivals And Departures,14796
2000-08,Total Passengers,2466113
2000-09,Total Aircraft Arrivals And Departures,14401
2000-09,Total Passengers,2380969
2000-10,Total Aircraft Arrivals And Departures,14941
2000-10,Total Passengers,2410924
2000-11,Total Aircraft Arrivals And Departures,14601
2000-11,Total Passengers,2426484
2000-12,Total Aircraft Arrivals And Departures,15138
2000-12,Total Passengers,2614036
2001-01,Total Aircraft Arrivals And Departures,15253
2001-01,Total Passengers,2467100
2001-02,Total Aircraft Arrivals And Departures,13699
2001-02,Total Passengers,2126733
2001-03,Total Aircraft Arrivals And Departures,15284
2001-03,Total Passengers,2451966
2001-04,Total Aircraft Arrivals And Departures,14893
2001-04,Total Passengers,2314821
2001-05,Total Aircraft Arrivals And Departures,15503
2001-05,Total Passengers,2300020
2001-06,Total Aircraft Arrivals And Departures,15092
2001-06,Total Passengers,2447201
2001-07,Total Aircraft Arrivals And Departures,15393
2001-07,Total Passengers,2513806
2001-08,Total Aircraft Arrivals And Departures,15377
2001-08,Total Passengers,2481805
2001-09,Total Aircraft Arrivals And Departures,14818
2001-09,Total Passengers,2285790
2001-10,Total Aircraft Arrivals And Departures,14898
2001-10,Total Passengers,2096942
2001-11,Total Aircraft Arrivals And Departures,14302
2001-11,Total Passengers,2094570
2001-12,Total Aircraft Arrivals And Departures,14848
2001-12,Total Passengers,2513005
2002-01,Total Aircraft Arrivals And Departures,14563
2002-01,Total Passengers,2265051
2002-02,Total Aircraft Arrivals And Departures,13227
2002-02,Total Passengers,2207855
2002-03,Total Aircraft Arrivals And Departures,14587
2002-03,Total Passengers,2496235
2002-04,Total Aircraft Arrivals And Departures,14187
2002-04,Total Passengers,2340976
2002-05,Total Aircraft Arrivals And Departures,14784
2002-05,Total Passengers,2393972
2002-06,Total Aircraft Arrivals And Departures,14299
2002-06,Total Passengers,2456221
2002-07,Total Aircraft Arrivals And Departures,14796
2002-07,Total Passengers,2478260
2002-08,Total Aircraft Arrivals And Departures,14867
2002-08,Total Passengers,2496030
2002-09,Total Aircraft Arrivals And Departures,14420
2002-09,Total Passengers,2345354
2002-10,Total Aircraft Arrivals And Departures,15050
2002-10,Total Passengers,2398719
2002-11,Total Aircraft Arrivals And Departures,14666
2002-11,Total Passengers,2349313
2002-12,Total Aircraft Arrivals And Departures,15374
2002-12,Total Passengers,2751358
2003-01,Total Aircraft Arrivals And Departures,15268
2003-01,Total Passengers,2473455
2003-02,Total Aircraft Arrivals And Departures,13977
2003-02,Total Passengers,2242013
2003-03,Total Aircraft Arrivals And Departures,15254
2003-03,Total Passengers,2217884
2003-04,Total Aircraft Arrivals And Departures,11780
2003-04,Total Passengers,1168611
2003-05,Total Aircraft Arrivals And Departures,9555
2003-05,Total Passengers,1003619
2003-06,Total Aircraft Arrivals And Departures,9859
2003-06,Total Passengers,1527529
2003-07,Total Aircraft Arrivals And Departures,11727
2003-07,Total Passengers,2121034
2003-08,Total Aircraft Arrivals And Departures,12377
2003-08,Total Passengers,2258839
2003-09,Total Aircraft Arrivals And Departures,12498
2003-09,Total Passengers,2243004
2003-10,Total Aircraft Arrivals And Departures,13422
2003-10,Total Passengers,2301146
2003-11,Total Aircraft Arrivals And Departures,14005
2003-11,Total Passengers,2404322
2003-12,Total Aircraft Arrivals And Departures,14624
2003-12,Total Passengers,2702681
2004-01,Total Aircraft Arrivals And Departures,14695
2004-01,Total Passengers,2516148
2004-02,Total Aircraft Arrivals And Departures,13481
2004-02,Total Passengers,2173157
2004-03,Total Aircraft Arrivals And Departures,14724
2004-03,Total Passengers,2365455
2004-04,Total Aircraft Arrivals And Departures,14768
2004-04,Total Passengers,2370567
2004-05,Total Aircraft Arrivals And Departures,15490
2004-05,Total Passengers,2375387
2004-06,Total Aircraft Arrivals And Departures,15273
2004-06,Total Passengers,2603192
2004-07,Total Aircraft Arrivals And Departures,15809
2004-07,Total Passengers,2679107
2004-08,Total Aircraft Arrivals And Departures,15850
2004-08,Total Passengers,2597601
2004-09,Total Aircraft Arrivals And Departures,15569
2004-09,Total Passengers,2441242
2004-10,Total Aircraft Arrivals And Departures,16352
2004-10,Total Passengers,2562470
2004-11,Total Aircraft Arrivals And Departures,16094
2004-11,Total Passengers,2712571
2004-12,Total Aircraft Arrivals And Departures,16828
2004-12,Total Passengers,2956668
2005-01,Total Aircraft Arrivals And Departures,16666
2005-01,Total Passengers,2532594
2005-02,Total Aircraft Arrivals And Departures,15010
2005-02,Total Passengers,2307000
2005-03,Total Aircraft Arrivals And Departures,16649
2005-03,Total Passengers,2628115
2005-04,Total Aircraft Arrivals And Departures,16813
2005-04,Total Passengers,2561634
2005-05,Total Aircraft Arrivals And Departures,17431
2005-05,Total Passengers,2608397
2005-06,Total Aircraft Arrivals And Departures,17201
2005-06,Total Passengers,2806185
2005-07,Total Aircraft Arrivals And Departures,17523
2005-07,Total Passengers,2898656
2005-08,Total Aircraft Arrivals And Departures,17400
2005-08,Total Passengers,2780426
2005-09,Total Aircraft Arrivals And Departures,16834
2005-09,Total Passengers,2654697
2005-10,Total Aircraft Arrivals And Departures,17371
2005-10,Total Passengers,2748919
2005-11,Total Aircraft Arrivals And Departures,17324
2005-11,Total Passengers,2801076
2005-12,Total Aircraft Arrivals And Departures,17916
2005-12,Total Passengers,3103157
2006-01,Total Aircraft Arrivals And Departures,17780
2006-01,Total Passengers,2837001
2006-02,Total Aircraft Arrivals And Departures,16043
2006-02,Total Passengers,2545676
2006-03,Total Aircraft Arrivals And Departures,18164
2006-03,Total Passengers,2847456
2006-04,Total Aircraft Arrivals And Departures,17672
2006-04,Total Passengers,2850395
2006-05,Total Aircraft Arrivals And Departures,17962
2006-05,Total Passengers,2784615
2006-06,Total Aircraft Arrivals And Departures,17561
2006-06,Total Passengers,2980106
2006-07,Total Aircraft Arrivals And Departures,18018
2006-07,Total Passengers,3049601
2006-08,Total Aircraft Arrivals And Departures,17992
2006-08,Total Passengers,2957866
2006-09,Total Aircraft Arrivals And Departures,17625
2006-09,Total Passengers,2765037
2006-10,Total Aircraft Arrivals And Departures,18398
2006-10,Total Passengers,2972562
2006-11,Total Aircraft Arrivals And Departures,18022
2006-11,Total Passengers,3024706
2006-12,Total Aircraft Arrivals And Departures,18987
2006-12,Total Passengers,3418062
2007-01,Total Aircraft Arrivals And Departures,18452
2007-01,Total Passengers,2944074
2007-02,Total Aircraft Arrivals And Departures,16661
2007-02,Total Passengers,2718900
2007-03,Total Aircraft Arrivals And Departures,18611
2007-03,Total Passengers,3071748
2007-04,Total Aircraft Arrivals And Departures,18021
2007-04,Total Passengers,2968719
2007-05,Total Aircraft Arrivals And Departures,18561
2007-05,Total Passengers,2930477
2007-06,Total Aircraft Arrivals And Departures,18177
2007-06,Total Passengers,3125696
2007-07,Total Aircraft Arrivals And Departures,18622
2007-07,Total Passengers,3156243
2007-08,Total Aircraft Arrivals And Departures,18643
2007-08,Total Passengers,3111873
2007-09,Total Aircraft Arrivals And Departures,18194
2007-09,Total Passengers,2900307
2007-10,Total Aircraft Arrivals And Departures,18950
